cidade,target,optimizer,lr,MAE,RMSE,R
Touba,dhi_rsi,adam,0.001,54.586177825927734,89.66013846569444,0.7934928735179176
Touba,dhi_rsi,adam,0.0005,46.018009185791016,76.37613478596407,0.8255459714015816
Touba,dhi_rsi,adam,0.0001,60.98444747924805,99.98679111981492,0.7563049354330499
Touba,dhi_rsi,sgd,0.001,57.975032806396484,99.17432568462465,0.7824024936171847
Touba,dhi_rsi,sgd,0.0005,69.50271606445312,117.978894431377,0.7355427701799364
Touba,dhi_rsi,sgd,0.0001,85.46855163574219,135.82259511491452,0.6803878924143244
Touba,ghi_pyr,adam,0.001,98.6454849243164,165.57107022929762,0.789052340819672
Touba,ghi_pyr,adam,0.0005,94.63101959228516,159.8779686002734,0.8351046934670179
Touba,ghi_pyr,adam,0.0001,100.16642761230469,160.10770910741618,0.8803065435514816
Touba,ghi_pyr,sgd,0.001,73.25092315673828,123.56893714264318,0.9098186702871295
Touba,ghi_pyr,sgd,0.0005,86.98703002929688,149.41547568776133,0.8517647875816744
Touba,ghi_pyr,sgd,0.0001,129.62840270996094,216.28786698807218,0.7962037098487657
Touba,ghi_sil,adam,0.001,57.93320846557617,104.05836609656862,0.8963946183864558
Touba,ghi_sil,adam,0.0005,62.00900650024414,113.73841372998174,0.8801209382723916
Touba,ghi_sil,adam,0.0001,73.97696685791016,124.85089153541315,0.8577900341010968
Touba,ghi_sil,sgd,0.001,57.609703063964844,107.1428706287194,0.8914269959582584
Touba,ghi_sil,sgd,0.0005,62.82345962524414,111.28445744464948,0.8849059586038303
Touba,ghi_sil,sgd,0.0001,118.08355712890625,183.24583257539584,0.8211814126869111
Fatick,dhi_rsi,adam,0.001,41.49448013305664,71.68680184381049,0.8488043006994681
Fatick,dhi_rsi,adam,0.0005,42.927215576171875,73.35210793345512,0.8442286377511004
Fatick,dhi_rsi,adam,0.0001,50.565555572509766,82.17354028308777,0.8212721028585163
Fatick,dhi_rsi,sgd,0.001,44.85879135131836,78.36638646348159,0.8187761839288042
Fatick,dhi_rsi,sgd,0.0005,50.93014144897461,88.45071676857684,0.8035071125033864
Fatick,dhi_rsi,sgd,0.0001,74.28258514404297,122.13375576340474,0.6821898548656269
Fatick,ghi_pyr,adam,0.001,74.566162109375,120.4319942306653,0.8726306733527759
Fatick,ghi_pyr,adam,0.0005,78.11116790771484,124.62465521517001,0.8758998553752899
Fatick,ghi_pyr,adam,0.0001,77.96769714355469,117.49357944559141,0.8805072400889601
Fatick,ghi_pyr,sgd,0.001,74.13606262207031,123.43017778915535,0.8850173613792338
Fatick,ghi_pyr,sgd,0.0005,74.08351135253906,122.68248525156311,0.8803230717760497
Fatick,ghi_pyr,sgd,0.0001,84.69242858886719,144.27825492342913,0.8595244894699443
Fatick,ghi_sil,adam,0.001,108.08634185791016,186.244001581259,0.8309972928234189
Fatick,ghi_sil,adam,0.0005,75.47124481201172,130.5134167552325,0.8904212530312381
Fatick,ghi_sil,adam,0.0001,72.67721557617188,111.02798686451763,0.8887020343630395
Fatick,ghi_sil,sgd,0.001,68.41807556152344,120.9542502934994,0.9004131691574795
Fatick,ghi_sil,sgd,0.0005,63.330055236816406,107.85901623328715,0.8968017739093267
Fatick,ghi_sil,sgd,0.0001,83.11079406738281,141.96137238699828,0.8661004417301837
SA Northern Cape,GSR,adam,0.001,85.05860900878906,155.39774446360218,0.8828609815418914
SA Northern Cape,GSR,adam,0.0005,72.30408477783203,132.03195635905726,0.8813565239569653
SA Northern Cape,GSR,adam,0.0001,44.150108337402344,103.37147156160881,0.8863100372075672
SA Northern Cape,GSR,sgd,0.001,44.17659378051758,103.5121284786836,0.8845960940463607
SA Northern Cape,GSR,sgd,0.0005,52.31498336791992,104.2689065964178,0.8843109646573536
SA Northern Cape,GSR,sgd,0.0001,73.7808609008789,114.7673470343917,0.8655098454973156
CAR Vakaga,GSR,adam,0.001,77.98641204833984,139.17087069498416,0.7736358993393951
CAR Vakaga,GSR,adam,0.0005,74.80839538574219,133.8208340468703,0.7967185950046289
CAR Vakaga,GSR,adam,0.0001,53.6328239440918,95.76164154914795,0.8932611029089479
CAR Vakaga,GSR,sgd,0.001,53.95098114013672,93.89936538823092,0.8952774104523298
CAR Vakaga,GSR,sgd,0.0005,65.12694549560547,108.36244700944603,0.8604005852685753
CAR Vakaga,GSR,sgd,0.0001,95.30426788330078,144.76299326398996,0.749582275395681
Egypt Mut,GSR,adam,0.001,54.661502838134766,87.27286927182755,0.9279026736542478
Egypt Mut,GSR,adam,0.0005,47.051170349121094,84.95906068329322,0.9281919922060906
Egypt Mut,GSR,adam,0.0001,36.172821044921875,73.78108455085219,0.9440796096983453
Egypt Mut,GSR,sgd,0.001,56.99766540527344,94.63833294442585,0.9375841048312349
Egypt Mut,GSR,sgd,0.0005,61.57490921020508,99.31518935156646,0.9321063778222034
Egypt Mut,GSR,sgd,0.0001,60.88887405395508,99.74395932523935,0.898442774152608
Algeria Tamanrasset,GSR,adam,0.001,222.751953125,331.0223038180358,0.6747301887073093
Algeria Tamanrasset,GSR,adam,0.0005,95.75981140136719,154.8555463468293,0.8090237393567532
Algeria Tamanrasset,GSR,adam,0.0001,51.20883560180664,101.63335509166023,0.8877201917746469
Algeria Tamanrasset,GSR,sgd,0.001,49.646297454833984,99.70601806843206,0.8931260133041211
Algeria Tamanrasset,GSR,sgd,0.0005,50.66472625732422,100.0425934680449,0.8924009703470274
Algeria Tamanrasset,GSR,sgd,0.0001,59.16725158691406,104.4571766697363,0.8817296118084181
Nigeria Borno,DSR,adam,0.001,21.065567016601562,40.776634077848435,0.8840859315495257
Nigeria Borno,DSR,adam,0.0005,18.051265716552734,35.611510604016786,0.8906492083267255
Nigeria Borno,DSR,adam,0.0001,19.214048385620117,35.6530111916406,0.8904277761182408
Nigeria Borno,DSR,sgd,0.001,19.693090438842773,35.96891459834189,0.8898608412629804
Nigeria Borno,DSR,sgd,0.0005,20.36896514892578,36.691628946745126,0.8839313734298709
Nigeria Borno,DSR,sgd,0.0001,26.281116485595703,39.53701940359582,0.8654322195874172
Nigeria Abuja,DNI,adam,0.001,342.64617919921875,355.270825392404,0.6842280665900097
Nigeria Abuja,DNI,adam,0.0005,131.1758270263672,151.24972882207095,0.8623233333862779
Nigeria Abuja,DNI,adam,0.0001,24.67949867248535,32.679210304608226,0.8905266364469897
Nigeria Abuja,DNI,sgd,0.001,23.514245986938477,30.114118074781388,0.9132580256476684
Nigeria Abuja,DNI,sgd,0.0005,22.889368057250977,29.160040867571457,0.9058622460690083
Nigeria Abuja,DNI,sgd,0.0001,24.03827667236328,29.773559473969517,0.9058864197879805
Nigeria Akure,DNI,adam,0.001,74.48947143554688,83.69025387552603,0.7384934986522139
Nigeria Akure,DNI,adam,0.0005,54.53515625,64.74463811052233,0.7610071675502013
Nigeria Akure,DNI,adam,0.0001,26.986093521118164,36.93302505676661,0.796242074453151
Nigeria Akure,DNI,sgd,0.001,25.18872833251953,33.82944931010554,0.8689627434805395
Nigeria Akure,DNI,sgd,0.0005,24.32182502746582,31.524598220576102,0.8820273682581192
Nigeria Akure,DNI,sgd,0.0001,22.34235382080078,28.247736747351215,0.8725551738700842
